University,Abbreviation,Latitude,Longitude,Logo,Rank,Type,Country,Location,StudentPopulation,Year,Contact,Email,Website,Strength,Description,Exchange,agricultural_veterinary_sciences,arts_design,business_management_law,education_Training,engineering_technology,health_medicine,humanities_languages,ict,natural_sciences,social_behavioral_sciences,services,transport_safety_security_military
Academy of Journalism and Communication,AJC,21.0046,105.8463,https://vnur.vn/wp-content/uploads/2023/01/34.Hoc-vien-Bao-chi-Tuyen-truyen.jpg,37,Academy,Vietnam,Hanoi,7000,1962,8.42438E+11,hvbctt@npa.org.vn,https://www.aejmc.org/,"Journalism, Communication, Media","Academy of Journalism and Communication was founded in 1962 and they are popular for journalism, communication and media.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Journalism, Communication, Public Relations, Media Studies",NA,NA
Academy of Policy and Development,-,21.0366,105.7821,https://vnur.vn/wp-content/uploads/2023/01/39.Hoc-vien-Chinh-sach-Phat-trien.jpg,69,Academy,Vietnam,Hanoi,2000,2008,8.42437E+11,khht@apd.edu.vn,http://e.apd.edu.vn/,"Public Policy, Economics",Academy of Policy and Development was founded in 2008 and they are popular for public policy and economics.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public Policy, Development Studies",NA,NA
Banking Academy of Vietnam,BAV,21.0287,105.8044,https://vnur.vn/wp-content/uploads/2023/01/47.Hoc-vien-Ngan-hang.jpg,14,Academy,Vietnam,Hanoi,20000,1961,8.42436E+11,truyenthong@hvnh.edu.vn,https://en.hvnh.edu.vn/,"Finance, Banking, Economics, Business","Banking Academy of Vietnam was founded in 1961 and they are popular for finance, banking, economics and business.",NA,NA,NA,"Banking, Finance, International Finance, Financial Technology",NA,NA,NA,NA,NA,NA,NA,NA,NA
Banking University Ho Chi Minh City,BUH,10.7719,106.6984,https://vnur.vn/wp-content/uploads/2023/01/58.DH-Ngan-hang-TP.HCM_.jpg,34,public,Vietnam,Ho Chi Minh City,13000,1976,84838291901,dhnhtphcm@hub.edu.vn,https://portal-en.hub.edu.vn/about-us,"Banking, Finance, Economics","Banking University Ho Chi Minh City was founded in 1976 and they are popular for banking, finance and economics.",NA,NA,NA,"Banking and Finance, International Finance, Financial Technology, Digital Banking and Finance, Risk Management, Insurance, Actuarial Science",NA,NA,NA,NA,"Financial Technology, Digital Banking and Finance",NA,NA,NA,NA
British University Vietnam,BUV,20.957,105.932,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/British_University_Vietnam.png/500px-British_University_Vietnam.png,NA,International,Vietnam,Hung Yen,3000,2009,842216250250 ,info@buv.edu.vn,https://www.buv.edu.vn/en/,"Business, Finance",British University Vietnam was founded in 2009 and they are popular for business and finance.,NA,NA,"Graphic Design, Digital Media Design","Business Administration, International Business, Accounting and Finance, Law",NA,"Civil Engineering, Mechanical Engineering, Electrical and Electronics Engineering, Computer Engineering",NA,"English Language and Literature, Communication","Computer Science, Information Technology, Software Engineering, Data Science",NA,Psychology,NA,NA
Can Tho University,CTU,10.0307,105.7688,https://vnur.vn/wp-content/uploads/2023/01/7.Can-Tho.jpg,10,public,Vietnam,Can Tho,45000,1966,8.42924E+11,dhct@ctu.edu.vn.,https://en.ctu.edu.vn/,"Agriculture, Medicine, Engineering, Economics","Can Tho University was founded in 1966 and they are popular for agriculture, medicine, engineering and economics.",NA,"Agricultural Economics, Agricultural Engineering, Plant Protection, Animal Science, Veterinary Medicine","Fine Art, Graphic Design","Business Administration, Accounting, Finance, Banking, Management, Marketing, Tourism, Law","Primary Education, Secondary Education, Early Childhood Education, Teacher Training","Civil Engineering, Mechanical Engineering, Electrical Engineering, Electronics and Telecommunications Engineering, Chemical Engineering, Computer Engineering, Information Technology","Medicine, Pharmacy, Nursing","Vietnamese Language and Literature, English Language and Literature, French Language and Literature, History, Philosophy","Information Technology, Computer Science, Software Engineering, Data Science","Mathematics, Physics, Chemistry, Biology, Environmental Science","Sociology, Psychology, Social Work",NA,NA
Can Tho University of Medicine and Pharmacy,CTUMP,10.0225,105.7767,https://upload.wikimedia.org/wikipedia/commons/6/6e/Logo_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Y_D%C6%B0%E1%BB%A3c_C%E1%BA%A7n_Th%C6%A1.gif,49,public,Vietnam,Can Tho,47000,2002,8.42924E+11,ctump@ctump.edu.vn,https://engtdhydct.ctump.edu.vn/,"Medicine, Pharmacy",Can Tho University of Medicine and Pharmacy was founded in 2002 and they are popular for medicine and pharmacy.,NA,NA,NA,NA,NA,NA,"Medicine, Pharmacy, Stomatology, Nursing",NA,NA,NA,NA,NA,NA
Dai Nam University,DNU,21.0388,105.7702,https://www.senviet.art/wp-content/uploads/edd/2021/12/dainam.jpg,95,private,Vietnam,Hanoi,37000,2007,8.42436E+11,dnu@dainam.edu.vn,https://dainam.edu.vn/en,"Business, IT, Engineering","Dai Nam University was founded in 2007 and they are popular for business, it and engineering.",NA,NA,"Graphic Design, Multimedia Communications","Business Administration, Human Resource Management, Marketing, International Business, E-commerce, Investment Economics, Financial Economics, Digital Business, Business Data Analytics, Banking and Finance, Financial Technology, Logistics and Supply Chain Management, Accounting, Law, Economic Law",NA,"Information Technology, Computer Science, Information Systems, Automotive Engineering Technology, Electrical and Electronic Engineering Technology, Mechatronics Engineering Technology, Architecture, Construction Engineering, Construction Economics, Engineering Technology and Automation Control","Medical, Pharmacy, Nursing","English Language, Chinese Language, Korean Language, Japanese Language",NA,NA,"Psychology, Public Relations",NA,NA
Dalat University,DLU,11.9404,108.458,https://vnur.vn/wp-content/uploads/2023/01/38.Da-Lat.jpg,68,public,Vietnam,Da Lat,11000,1957,8.42634E+11,daihocdalat@dlu.edu.vn,https://dlu.edu.vn/en/,"Education, Tourism, Biology","Dalat University was founded in 1957 and they are popular for education, tourism and biology.",NA,"Agronomy, Biotechnology, Post-Harvest Technology, Forestry",NA,"Business Administration, Law, Accounting, Human Resources, Management, Marketing, Tourism, International Economics and Business",Education,"Computer Science, Information Technology, Information Systems, Electrical and Electronic Engineering, Nuclear Engineering, Engineering, Automation and Control, Construction Engineering",NA,"English Studies, Modern Languages, Classical Languages, Linguistics, Literature, Comparative Literature","Computer Science, Information Technology, Information Systems","Biology, Chemistry, Physics, Ecology, Environmental Studies, Statistics, Mathematics","Sociology, Social Studies, Development Studies, Southeast Asian Studies, Psychology, History, Ethnology, Political Science",Tourism,Geology
Diplomatic Academy of Vietnam,DAV,21.0276,105.8237,https://vnur.vn/wp-content/uploads/2023/01/31.Hoc-vien-Ngoai-giao.jpg,72,Academy,Vietnam,Hanoi,6000,1959,8.42438E+11,tapchi_ncqt@mofa.gov.vn,https://www.dav.edu.vn/en/,"International Relations, Diplomacy",Diplomatic Academy of Vietnam was founded in 1959 and they are popular for international relations and diplomacy.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"International Relations, Diplomacy, Political Science, International Law, International Economics",NA,NA
Dong Thap University,DThU,10.3379,105.7663,https://vnur.vn/wp-content/uploads/2023/01/69.Dong-Thap.jpg,76,public,Vietnam,Cao Lanh,8000,2003,8.42774E+11,dhdt@dthu.edu.vn,https://en.dthu.edu.vn/,"Education, Agriculture, Social Sciences","Dong Thap University was founded in 2003 and they are popular for education, agriculture and social sciences.",NA,"Agriculture, Animal Husbandry, Veterinary Medicine","Fine Art, Graphic Design","Business Administration, Accounting, Finance, Management, Law","Primary Education, Secondary Education, Early Childhood Education, Teacher Training","Civil Engineering, Mechanical Engineering, Electrical Engineering, Computer Engineering, Information Technology","Nursing, Pharmacy, Public Health","Vietnamese Language and Literature, English Language and Literature, History, Philosophy","Information Technology, Software Engineering, Computer Science, Data Science","Biology, Chemistry, Physics, Mathematics","Sociology, Psychology, Social Work","Tourism Management, Hospitality Management",NA
Duy Tan University,DTU,16.0748,108.2226,https://files02.duytan.edu.vn/svruploads/dtu-duytan/upload/images/logoDT-70.png,6,private,Vietnam,Da Nang,24000,1994,8.42364E+11,khcn.dtu@duytan.edu.vn,http://duytan.edu.vn/,"Medicine, Engineering, Business, IT","Duy Tan University was founded in 1994 and they are popular for medicine, engineering, business and it.",NA,NA,"Industrial Design, Graphic Design, Fashion Design","Business Administration, Accounting, Finance and Banking, International Business, Logistics and Supply Chain Management, Marketing, Tourism Management, Law",NA,"Civil Engineering, Mechanical Engineering, Electrical Engineering, Electronics and Telecommunications Engineering, Automation and Control Engineering, Chemical Engineering, Computer Engineering, Software Engineering, Information Technology, Environmental Engineering",NA,"English, Japanese, Korean","Computer Science, Data Science, Artificial Intelligence, Cybersecurity","Chemistry, Physics, Mathematics",Psychology,NA,NA
Electric Power University,EPU,21.0287,105.8044,https://vnur.vn/wp-content/uploads/2023/01/25.Dien-luc.jpg,31,public,Vietnam,Hanoi,10000,2006,8.42422E+11,info@epu.edu.vn,https://english.ncepu.edu.cn/,"Electrical Engineering, Power Systems",Electric Power University was founded in 2006 and they are popular for electrical engineering and power systems.,NA,NA,NA,"Business Administration, Law",NA,"Electrical Engineering, Power Systems Engineering, Renewable Energy Engineering, Control Systems Engineering, Electronics Engineering, Computer Engineering, Mechanical Engineering, Civil Engineering",NA,NA,"Information Technology, Computer Science","Physics, Chemistry, Mathematics",NA,NA,NA
Foreign Trade University,FTU,20.995,105.8013,https://vnur.vn/wp-content/uploads/2023/01/13.Ngoai-Thuong.jpg,23,public,Vietnam,Hanoi,23000,1960,8.42433E+11,qhqt@ftu.edu.vn,https://english.ftu.edu.vn/,"International Business, Economics, Finance","Foreign Trade University was founded in 1960 and they are popular for international business, economics and finance.",NA,NA,NA,"International Business, Customs Management, Business Administration, Finance and Banking, Accounting, Economics, E-commerce, Logistics and Supply Chain Management, Law, International Law, Public Administration",NA,NA,NA,"English, Japanese, Korean, Chinese, French",Information Technology,NA,"International Relations, Political Science, Sociology",NA,NA
FPT University,FPTU,21.0165,105.7681,https://vnur.vn/wp-content/uploads/2023/01/37.FPT_.jpg,81,private,Vietnam,Hanoi,20000,2006,8.42473E+11,daihocfpt@fpt.edu.vn,https://daihoc.fpt.edu.vn/en/,"IT, Business, Digital Marketing","FPT University was founded in 2006 and they are popular for IT, business and digital marketing.",NA,NA,"Digital Media Technology, Multimedia Technology, Graphic Design","Business Administration, International Business, Marketing, Finance and Banking, Tourism Management, Logistics and Supply Chain Management, Human Resource Management, E-Commerce, Digital Marketing, Data Science and Business Analytics, Law",NA,"Software Engineering, Computer Engineering, Electronics and Telecommunications Engineering, Automation and Control Engineering, Mechanical Engineering, Civil Engineering, Information Technology, Artificial Intelligence, Cybersecurity, Data Science, Robotics Engineering",NA,"English Language, Japanese Language","Software Engineering, Computer Engineering, Electronics and Telecommunications Engineering, Information Technology, Artificial Intelligence, Cybersecurity, Data Science, Digital Media Technology, Multimedia Technology, Network Engineering, Game Technology, Robotics Engineering",NA,NA,NA,NA
Hai Phong University,HPU,20.8651,106.6839,https://vnur.vn/wp-content/uploads/2023/01/81.Hai-Phong.jpg,59,public,Vietnam,Hai Phong,10000,1968,8.42254E+11,daihoc@haiphong.gov.vn,http://hpmu.edu.vn/hpmu/,"Engineering, Business, Education","Hai Phong University was founded in 1968 and they are popular for engineering, business and education.",NA,NA,"Physical Education, Music Education, Fine Art Education","Business Administration, Economics, International Business, Accounting, Finance and Banking, Tourism and Hospitality Management","Primary Education, Pre-school Education, Educational Management, Special Education, Mathematics Education, Physics Education, Chemistry Education, Biology Education, Literature Education, History Education, Geography Education, Political Education","Electrical Engineering, Mechanical Engineering, Civil Engineering, Environmental Engineering",NA,"English Language, Chinese Language, Japanese Language, Korean Language, French Language, Russian Language","Computer Science, Software Engineering, Information Systems, Network and Cybersecurity","Mathematics, Applied Mathematics, Physics, Chemistry, Biology, Environmental Science","History, Vietnamese Studies, Social Work, Sociology, Cultural Studies",NA,NA
Hanoi Architectural University,HAU,21.027,105.8443,https://vnur.vn/wp-content/uploads/2023/01/61.Kien-truc-Ha-Noi.jpg,50,public,Vietnam,Hanoi,8000,1969,8.42439E+11,pth@hau.edu.vn,https://hau.edu.vn/?lang=en,"Architecture, Urban Planning",Hanoi Architectural University was founded in 1969 and they are popular for architecture and urban planning.,NA,NA,NA,NA,NA,"Architecture, Civil Engineering, Environmental Engineering, Water Supply and Drainage Engineering, Construction Engineering Technology, Urban Planning, Landscape Architecture, Building Services Engineering",NA,NA,NA,NA,NA,NA,NA
Hanoi Law University,HLU,21.0112,105.8086,https://vnur.vn/wp-content/uploads/2023/01/59.Luat-Ha-Noi.jpg,40,public,Vietnam,Hanoi,17000,1979,8.42438E+11,hopthuphananh.hieutruong@hlu.edu.vn,https://hlu.edu.vn/,"Law, Political Science",Hanoi Law University was founded in 1979 and they are popular for law and political science.,NA,NA,NA,"Law, International Law, Civil Law, Criminal Law, Commercial Law, Administrative Law, Economic Law, Land Law, Maritime Law, Environmental Law, Legal Process, Legal Theory, Notary Public, Judicial Enforcement",NA,NA,NA,NA,NA,NA,NA,NA,NA
Hanoi Medical University,HMU,21.0003,105.84,https://vnur.vn/wp-content/uploads/2023/01/29.Y-Ha-Noi.jpg,39,public,Vietnam,Hanoi,18000,1902,8.42436E+11,daihocyhn@hmu.edu.vn,https://hmu.edu.vn/,"Medicine, Pharmacy, Public Health","Hanoi Medical University was founded in 1902 and they are popular for medicine, pharmacy and public health.",NA,NA,NA,NA,NA,NA,"Medicine, Dentistry, Pharmacy, Nursing, Public Health, Medical Technology, Traditional Medicine",NA,NA,NA,NA,NA,NA
Hanoi Metropolitan University,HNMU,20.9828,105.8396,https://vnur.vn/wp-content/uploads/2023/01/29.Thu-do-Ha-Noi.jpg,56,public,Vietnam,Hanoi,2000,1959,8.42438E+11,banbientap@hnmu.edu.vn,https://hnmu.edu.vn/en,"Business, IT, Social Sciences","Hanoi Metropolitan University was founded in 1959 and they are popular for business, it and social sciences.",NA,NA,NA,"Business Administration, International Business, Finance and Banking, Accounting, Law",NA,"Civil Engineering, Mechanical Engineering, Electrical Engineering, Information Technology, Computer Science",NA,"Vietnamese Language and Literature, English Language and Literature, History, Philosophy","Software Engineering, Data Science, Network Engineering, Cybersecurity","Mathematics, Physics, Chemistry, Biology","Sociology, Psychology, Political Science",NA,NA
Hanoi National University of Education,HNUE,20.9951,105.842,https://vnur.vn/wp-content/uploads/2023/01/8.Su-pham-Ha-Noi.jpg,8,public,Vietnam,Hanoi,30000,1951,84241257812,p.hcdn@hnue.edu.vn,https://english.hnue.edu.vn/,"Education, Pedagogy, Natural Sciences","Hanoi National University of Education was founded in 1951 and they are popular for education, pedagogy and natural sciences.",NA,NA,"Fine Art, Art Education",NA,"Preschool Education, Primary Education, Secondary Education, Educational Administration and Supervision, Special Education, Early Childhood Care and Education, Educational Technology, Physical Education, Music Education, Art Education, Foreign Language Education, Mathematics Education, Physics Education, Chemistry Education, Biology Education, History Education, Geography Education, Civic Education, Literature Education, Information Technology Education, Vocational Education, Teacher Training, Curriculum and Instruction",NA,NA,"Vietnamese Language and Literature, English Language and Literature, French Language and Literature, Chinese Language and Literature, History, Geography, Philosophy",Information Technology,"Mathematics, Physics, Chemistry, Biology","Psychology, Sociology, Social Work",NA,NA
Hanoi Open University,HOU,20.9983,105.8034,https://vnur.vn/wp-content/uploads/2023/01/63.Mo-Ha-Noi.png,61,public,Vietnam,Hanoi,37000,1993,8.42439E+11,mhn@hou.edu.vn,https://hou.edu.vn/,"Business, IT, Social Sciences","Hanoi Open University was founded in 1993 and they are popular for business, it and social sciences.",NA,NA,NA,"Business Administration, Law","Early Childhood Education, Primary Education, Secondary Education",NA,NA,"Vietnamese Language and Literature, English, French",Information Technology,"Mathematics, Physics, Chemistry, Biology","Sociology, Psychology",NA,NA
Hanoi Pedagogical University 2,HPU2,21.0646,105.7065,https://upload.wikimedia.org/wikipedia/vi/3/30/Su_pham_HN2.jpg,16,public,Vietnam,Phuc Yen City,10000,1967,8.42114E+11,bgddt-sp2@hpu2.edu.vn,https://www.hpu2.edu.vn/en-GB,"Education, Social Sciences, Natural Sciences","Hanoi Pedagogical University 2 was founded in 1967 and they are popular for education, social sciences and natural sciences.",NA,NA,"Fine Art, Music Education",Business Administration,"Early Childhood Education, Primary Education, Secondary Education, Pre-school Education, Teaching English as a Foreign Language, Physical Education, Educational Administration and Management, Special Education, Informatics in Education",NA,NA,"Vietnamese Language and Literature, English Language and Literature, French Language and Literature, History, Geography",Information Technology,"Mathematics, Physics, Chemistry, Biology","Psychology, Sociology",NA,NA
Hanoi University of Business and Technology,HUBT,21.0222,105.8036,https://vnur.vn/wp-content/uploads/2023/01/86.Kinh-doanh-Cong-nghe-Ha-Noi.png,97,public,Vietnam,Hanoi,13000,1996,8.42436E+11,vanphongdkc@gmail.com,https://hubt.edu.vn/,"Business, IT, Engineering","Hanoi University of Business and Technology was founded in 1996 and they are popular for business, it and engineering.",NA,NA,NA,"Business Administration, Finance and Banking, Accounting, International Business, Logistics and Supply Chain Management, Marketing, E-commerce, Tourism Management, Real Estate Management, Law",NA,NA,NA,"English, Japanese, Korean, Chinese","Information Technology, Software Engineering, Data Science, Cybersecurity, Network Engineering",NA,NA,NA,NA
Hanoi University of Civil Engineering,HUCE,21.0285,105.8037,https://vnur.vn/wp-content/uploads/2023/01/14.Xay-dung-Ha-Noi.jpg,35,public,Vietnam,Hanoi,22000,1966,8.42439E+11,dhxaydung@huce.edu.vn,https://en.huce.edu.vn/,"Civil Engineering, Architecture",Hanoi University of Civil Engineering was founded in 1966 and they are popular for civil engineering and architecture.,NA,NA,NA,NA,NA,"Civil Engineering, Hydraulic Engineering, Construction Engineering, Geotechnical Engineering, Transportation Engineering, Environmental Engineering, Water Supply and Sewerage Engineering, Building Materials Engineering, Construction Management, Infrastructure Engineering, Surveying and Cartography, Urban Planning",NA,NA,NA,NA,NA,NA,NA
Hanoi University of Industry,HAUI,20.9908,105.5395,https://vnur.vn/wp-content/uploads/2023/01/23.Cong-nghiep-Ha-Noi.jpg,33,public,Vietnam,Hanoi,32000,1898,8.42438E+11,dhcnhn@haui.edu.vn,https://www.haui.edu.vn/en,"Mechanical Engineering, IT, Business","Hanoi University of Industry was founded in 1898 and they are popular for mechanical engineering, it and business.",NA,NA,NA,NA,NA,"Automation and Control Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Electrical Engineering, Electronic Engineering, Environmental Engineering, Food Technology, Industrial Engineering, Manufacturing Engineering, Mechanical Engineering, Mechatronics Engineering, Software Engineering, Telecommunications Engineering, Water Supply and Drainage Engineering",NA,NA,"Computer Science, Information Technology, Information Systems",NA,NA,NA,NA
Hanoi University of Mining and Geology,HUMG,21.064,105.7702,https://vnur.vn/wp-content/uploads/2023/01/22.Mo-Dia-chat.jpg,22,public,Vietnam,Hanoi,13000,1966,8.42438E+11,hanhchinhtonghop@humg.edu.vn,https://humg.edu.vn/en/Pages/home.aspx,"Geology, Mining, Petroleum Engineering","Hanoi University of Mining and Geology was founded in 1966 and they are popular for geology, mining and petroleum engineering.",NA,NA,NA,NA,NA,"Mining Engineering, Petroleum Engineering, Geological Engineering, Geophysical Engineering, Environmental Engineering, Mineral Processing Engineering, Applied Geology, Geotechnical Engineering, Hydrogeology, Engineering Surveying and Cartography, Information Technology in Geology and Mining",NA,NA,Information Technology in Geology and Mining,"Geology, Geophysics, Hydrogeology, Mineral Processing",NA,NA,NA
Hanoi University of Natural Resources and Environment,HUMRE,21.043,105.7851,https://upload.wikimedia.org/wikipedia/commons/4/4e/HUNRE_Logo.png,67,public,Vietnam,Hanoi,14000,2008,84902130130,DHTNMT@hunre.edu.vn,https://upm.vn/university/93,"Environmental Science, Geology",Hanoi University of Natural Resources and Environment was founded in 2008 and they are popular for environmental science and geology.,NA,"Agricultural Economics, Plant Protection, Crop Production, Animal Science, Veterinary Medicine",NA,Management,NA,"Environmental Engineering, Water Resources Engineering, Land Resource Engineering",NA,NA,NA,"Chemistry, Biology, Physics, Environmental Science",NA,NA,NA
Hanoi University of Pharmacy,HUP,21.0025,105.8417,https://vnur.vn/wp-content/uploads/2023/01/20.Duoc-Ha-Noi.jpg,13,public,Vietnam,Hanoi,15000,1902,8.42438E+11,info@hup.edu.vn,https://www.hup.edu.vn/en,"Pharmacy, Medicine, Biotechnology","Hanoi University of Pharmacy was founded in 1902 and they are popular for pharmacy, medicine and biotechnology.",NA,NA,NA,NA,NA,NA,"Pharmacy, Clinical Pharmacy, Pharmaceutical Technology, Traditional Medicine, Medical Technology",NA,NA,"Chemistry, Biology",NA,NA,NA
Hanoi University of Public Health,HUPH,21.0041,105.8467,https://vnur.vn/wp-content/uploads/2023/01/41.Y-te-Cong-cong.jpg,65,public,Vietnam,Hanoi,1700,2001,8.42463E+11,jhds@huph.edu.vn,https://dtdh.huph.edu.vn/english/,"Public Health, Medicine",Hanoi University of Public Health was founded in 2001 and they are popular for public health and medicine.,NA,NA,NA,NA,Public Health Education,NA,"Medical Technology, Pharmacy, Public Health, Nursing, Preventive Medicine, Dental Technology, Midwifery, Nutrition, Health Management, Occupational Health and Safety, Epidemiology, Biostatistics, Laboratory Medicine, Health Informatics, Health Economics, Reproductive Health",NA,Health Informatics,"Biostatistics, Epidemiology","Health Economics, Health Management, Health Psychology, Social Work",NA,NA
Hanoi University of Science and Technology,HUST,21.0059,105.8433,https://hust.edu.vn/uploads/sys/logo-dhbk-1-02_130_191.png,3,public,Vietnam,Hanoi,40000,1956,8.42439E+11,htdn@hust.edu.vn,https://hust.edu.vn/en/,"Engineering, Computer Science",Hanoi University of Science and Technology was founded in 1956 and they are popular for engineering and computer science.,NA,NA,NA,NA,NA,"Automation and Control Engineering, Chemical Engineering, Civil Engineering, Computer Science and Engineering, Electrical Engineering, Electronics and Telecommunications Engineering, Environmental Engineering, Information Technology, Manufacturing Engineering, Mechanical Engineering, Mechatronics Engineering, Software Engineering, Water Resources Engineering",NA,NA,"Computer Science, Information Technology, Software Engineering, Data Science, Artificial Intelligence","Applied Mathematics, Chemistry, Physics",NA,NA,NA
Ho Chi Minh City Open University,HCMOU,10.8518,106.6327,https://vnur.vn/wp-content/uploads/2023/01/60.Mo-TP.HCM_.jpg,29,public,Vietnam,Ho Chi Minh City,32000,1990,8.42838E+11,ou@ou.edu.vn,http://en.ou.edu.vn/,"Business, IT, Social Sciences","Ho Chi Minh City Open University was founded in 1990 and they are popular for business, it and social sciences.",NA,NA,NA,"Business Administration, Accounting, Finance and Banking, Law","Pedagogy, Early Childhood Education",NA,NA,"Vietnamese Language and Literature, English, French",Information Technology,NA,"Sociology, Psychology",Tourism,NA
Ho Chi Minh City University of Agriculture and Forestry,HCMUAF,10.8703,106.7917,https://upload.wikimedia.org/wikipedia/vi/e/e1/Logo_HCMUAF.svg,58,public,Vietnam,Ho Chi Minh City,23000,1955,8.42839E+11,kln@hcmuaf.edu.vn,https://en.hcmuaf.edu.vn/,"Agriculture, Forestry",Ho Chi Minh City University of Agriculture and Forestry was founded in 1955 and they are popular for agriculture and forestry.,NA,"Agricultural Economics, Agricultural Engineering, Agricultural Technology, Animal Science, Crop Science, Forestry, Plant Protection, Veterinary Medicine",NA,"Business Administration, Management",NA,"Agricultural Engineering, Post-Harvest Technology",NA,NA,NA,"Biology, Chemistry, Environmental Science, Soil Science",NA,NA,NA
Ho Chi Minh City University Of Culture,HCMUC,10.8062,106.7145,https://vnur.vn/wp-content/uploads/2023/01/75.Van-hoa-TP.HCM_.jpg,77,public,Vietnam,Ho Chi Minh City,25000,1976,8.42839E+11,dhvh@hcmuc.edu.vn,https://hcmuc.edu.vn/,"Cultural Studies, Arts",Ho Chi Minh City University Of Culture was founded in 1976 and they are popular for cultural studies and arts.,NA,NA,"Art Education, Fine Art, Performing Art","Business Administration, Tourism Management","Primary Education, Secondary Education, Pre-school Education, Foreign Language Teaching, Physical Education",NA,NA,"Vietnamese Language and Literature, English Language and Literature, French Language and Literature, History, Philosophy",NA,NA,"Journalism, Sociology, Library Science",NA,NA
Ho Chi Minh City University of Education,HCMUE,10.8508,106.772,https://vnur.vn/wp-content/uploads/2023/01/53.Su-pham-TP.HCM_.png,20,public,Vietnam,Ho Chi Minh City,25000,1976,8.42838E+11,phonghtqt@hcmue.edu.vn,https://hcmue.edu.vn/en/,"Education, Psychology, Social Sciences","Ho Chi Minh City University of Education was founded in 1976 and they are popular for education, psychology and social sciences.",NA,NA,"Visual Art Education, Music Education",NA,"Preschool Education, Primary Education, Secondary Education, Special Education, Early Childhood Care and Education, Educational Management, Educational Technology, Physical Education, Foreign Language Education, Vietnamese Language and Literature Education, Mathematics Education, Physics Education, Chemistry Education, Biology Education, History Education, Geography Education, Civic Education, Technology Education, Information Technology Education, Art Education, Music Education, Physical Education and Sport, Early Childhood Education",NA,NA,"Vietnamese Language and Literature, English, French, Chinese, History, Geography",Information Technology,"Mathematics, Physics, Chemistry, Biology","Psychology, Sociology",NA,NA
Ho Chi Minh City University of Fine Arts,HCMUFA,10.7708,106.6893,https://upload.wikimedia.org/wikipedia/commons/b/b6/Logohcmufa.png,85,public,Vietnam,Ho Chi Minh City,30000,1976,8.42838E+11,daotao@hcmufa.edu.vn,https://hcmufa.edu.vn/,"Fine Arts, Design",Ho Chi Minh City University of Fine Arts was founded in 1976 and they are popular for fine arts and design.,NA,NA,"Visual Art, Graphic Design, Sculpture, Painting, Photography, Filmmaking, Interior Design, Industrial Design, Fashion Design",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ho Chi Minh City University of Industry and Trade,HUIT,10.7717,106.6575,https://giaoduc247.vn/uploads/082021/images/HUIT(1).jpeg,47,public,Vietnam,Ho Chi Minh City,26000,2004,8.42838E+11,info@huit.edu.vn,https://huit.edu.vn/academics/ho-chi-minh-city-university-of-food-industry-hufi-has-officially-changed-its-name-to-ho-chi-minh-city-university-of-industry-and-trade-huit?&lang=en,"Business, Engineering, IT","Ho Chi Minh City University of Industry and Trade was founded in 2004 and they are popular for business, engineering and it.",NA,NA,NA,"Business Administration, Logistics and Supply Chain Management, Marketing, Finance and Banking, Accounting, International Business, E-commerce, Law",NA,"Mechanical Engineering, Electrical Engineering, Civil Engineering, Chemical Engineering, Automation Engineering, Industrial Engineering, Mechatronics Engineering, Information Technology Engineering, Computer Engineering, Telecommunications Engineering",NA,"English, Languages","Information Technology, Software Engineering, Data Science, Cybersecurity, Network Engineering","Mathematics, Physics, Chemistry",Economics,Tourism,NA
Ho Chi Minh City University of Law,HCMUL,10.7736,106.6959,https://vnur.vn/wp-content/uploads/2023/01/83.Luat-TP.HCM_.jpg,51,public,Vietnam,Ho Chi Minh City,10000,1996,84839400989,info@hcmulaw.edu.vn,https://en.hcmulaw.edu.vn/,"Law, Political Science",Ho Chi Minh City University of Law was founded in 1996 and they are popular for law and political science.,NA,NA,NA,"Law, International Law, Civil Law, Criminal Law, Commercial Law, Economic Law, Administrative Law, Labour Law, Environmental Law, Maritime Law, Legal Theory, Legal History, Jurisprudence, Notary Public, Legal Practice, Dispute Resolution, International Business Law, Intellectual Property Law, Corporate Law",NA,NA,NA,NA,NA,NA,"Political Science, Sociology, Criminology",NA,NA
Ho Chi Minh City University of Physical Education and Sports,HCMUPES,10.823,106.6297,https://upload.wikimedia.org/wikipedia/vi/0/0c/Logo-truong-dai-hoc-the-duc-the-thao-tp-hcm.jpg,57,public,Vietnam,Ho Chi Minh City,25000,1976,8.42839E+11,htqt@dhtdtthcm.edu.vn,https://en.wikipedia.org/wiki/Ho_Chi_Minh_City_University_of_Sport,"Sports Science, Physical Education",Ho Chi Minh City University of Physical Education and Sports was founded in 1976 and they are popular for sports science and physical education.,NA,NA,NA,NA,"Physical Education, Sports Management",NA,NA,NA,NA,NA,NA,NA,NA
